Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,194,15.321737,116.296959,1,1
2,212,58.110291,170.049377,1,0
3,243,71.142593,164.784454,1,1
4,277,55.527561,172.047943,1,0
5,180,51.991615,177.957352,1,1
6,208,63.865807,203.860352,1,0
7,181,51.736244,177.320557,1,1
8,218,66.426544,193.679138,1,0
9,149,20.184746,148.254852,1,1
10,206,66.546616,217.093124,1,0
11,218,39.533817,128.91539,1,1
12,241,70.838425,156.565369,1,0
13,202,48.745651,136.507919,1,1
14,282,86.042915,190.712952,1,0
15,216,36.367085,139.87088,1,1
16,237,68.766853,192.1642,1,0
17,233,82.689209,127.625275,1,1
18,265,70.872726,151.453308,1,0
19,177,14.115078,112.461624,1,1
20,211,91.085686,168.329102,1,0
21,256,85.63073,144.737305,1,1
22,323,99.879173,140.349686,1,0
23,275,69.773071,98.9636,1,1
24,316,103.145592,123.059166,1,0
25,329,109.925491,117.963142,1,1
26,385,125.970566,130.446472,1,0
27,259,86.019142,148.990707,1,1
28,231,71.290283,178.322083,1,0
29,180,55.146126,147.083817,1,1
30,281,106.977692,204.149399,1,0
31,163,64.348114,172.457855,1,1
32,173,86.611458,301.924255,1,0
33,834,263.289551,146.23938,1,1
34,207,83.181709,249.224808,1,0
35,1502,609.043091,197.981979,1,1
36,354,177.179825,259.771576,1,0
37,550,204.520309,29.58951,1,1
38,1501,905.086731,306.985016,1,0
39,658,377.612671,253.466064,1,1
40,142,73.511482,252.832062,1,0
41,116,60.885567,183.192566,1,1
42,1261,778.414246,316.237701,1,0
43,137,76.697464,174.301102,1,1
44,365,213.422729,260.405365,1,0
45,1289,889.777222,327.483673,1,1
46,124,82.827446,276.042694,1,0
47,87,41.01149,100.675636,1,1
48,141,82.024818,242.826019,1,0
49,147,86.457054,170.754471,1,1
50,260,178.962769,310.94519,1,0
51,76,48.90081,215.139893,1,1
52,273,200.879166,362.605042,1,0
53,355,161.738998,26.593164,1,1
54,179,92.614189,179.751205,1,0
55,274,45.597443,18.440687,1,1
56,114,84.842598,329.315063,1,0
57,711,255.663177,13.330023,1,1
58,98,70.956154,268.101532,1,0
59,151,115.550941,55.548828,1,1
60,110,69.627556,247.419022,1,0
61,580,283.401367,16.12443,1,1
