epoch,numberSteps,totalReward,averageSpeed,gameEndedByCrush
1,195,-62.334072,176.850998,1
2,153,-60.384594,195.064728,1
3,232,-28.615112,210.437759,1
4,155,-76.602669,162.133987,1
5,175,-68.622688,178.32312,1
6,269,-28.700325,215.522644,1
7,235,-31.743713,247.658752,1
8,257,-50.091827,189.447433,1
9,203,-23.639862,225.727722,1
10,200,-42.930702,196.05722,1
11,181,-89.837944,146.171234,1
12,164,-79.445236,160.54837,1
13,233,-33.060707,174.61293,1
14,233,-42.067833,228.100571,1
15,161,-74.942581,162.691345,1
16,272,-16.490402,194.654556,1
17,222,-66.510178,171.216797,1
18,218,-47.669327,171.79332,1
19,157,-86.171928,159.084091,1
20,165,-70.855652,193.59964,1
21,204,-56.790733,215.701797,1
22,276,-36.535774,177.383484,1
23,177,-65.757301,165.450928,1
24,155,-52.850029,181.306976,1
25,213,-47.175346,186.037811,1
26,211,-40.507465,220.351151,1
27,149,-64.256233,184.504333,1
28,252,-27.735748,221.25592,1
29,189,-45.543446,222.257095,1
30,179,-28.08667,195.823654,1
31,231,-33.16806,244.9953,1
32,213,-47.096874,168.845444,1
33,126,-90.377869,166.836914,1
34,135,-82.191994,194.641022,1
35,267,-14.071899,210.012619,1
36,226,-13.053123,197.918777,1
37,226,-32.423195,185.680832,1
38,173,-45.115597,200.039169,1
39,144,-79.371063,180.976181,1
40,149,-31.362633,232.431366,1
41,194,-4.661591,189.999863,1
42,255,5.624924,188.385727,1
43,134,-73.378143,187.097946,1
44,126,-68.862144,178.863998,1
45,165,-39.091484,220.114578,1
46,196,-12.860725,199.004684,1
47,160,-51.813595,201.186829,1
48,232,-5.505707,209.795273,1
49,122,-53.25267,186.784149,1
50,258,-1.097748,184.254227,1
51,158,-13.20945,230.739914,1
52,124,-63.12595,168.738144,1
53,120,-66.188538,191.169189,1
54,240,-8.632782,180.837509,1
55,234,-7.360321,208.233017,1
56,228,9.298744,234.090363,1
57,175,-29.113838,210.790909,1
58,198,-13.931984,220.16478,1
59,217,-8.362541,189.095184,1
60,211,5.982574,192.960266,1
61,192,-13.032227,201.869156,1
62,251,11.728966,188.655762,1
63,189,-27.353233,196.844116,1
64,123,-73.700768,188.586426,1
65,257,20.613304,233.251907,1
66,122,-67.161514,172.476746,1
67,133,-71.491356,180.056396,1
68,283,20.934059,196.420273,1
69,261,2.142128,214.009979,1
70,245,5.01825,161.88829,1
71,178,-41.355518,211.489487,1
72,242,17.535103,209.345139,1
73,147,-72.576813,170.486496,1
74,162,-17.380264,207.176895,1
75,119,-62.616055,186.031952,1
76,287,23.44706,175.701401,1
77,138,-32.644501,215.126648,1
78,221,-10.916832,175.066101,1
79,288,24.806168,154.454056,1
80,226,-1.756088,208.314468,1
81,285,14.51329,168.556366,1
82,215,-23.63121,165.185089,1
83,131,-39.054619,216.582047,1
84,347,87.66597,287.084381,1
85,326,81.763519,329.978851,1
86,165,-13.785263,221.536194,1
87,396,105.242294,271.357025,1
88,111,-58.651817,188.784241,1
89,248,50.428238,291.797821,1
90,193,-25.569969,204.029343,1
91,157,-34.24968,238.9478,1
92,110,-50.598568,238.181732,1
93,393,165.533325,363.983582,1
94,251,29.968414,244.732468,1
95,540,254.758423,359.94342,1
96,222,-7.905106,217.568283,1
97,416,135.184067,279.175568,1
98,291,34.408508,216.350708,1
99,545,303.615265,390.397247,1
100,99,-54.929508,193.080566,1
101,377,142.708221,315.641113,1
102,615,290.200378,359.600433,1
103,306,23.900612,177.07901,1
104,130,-30.84317,228.182388,1
105,430,225.608063,409.868011,1
106,821,549.534485,434.380554,1
107,147,-34.82827,258.537415,1
108,108,-44.719044,228.647491,1
109,537,207.266754,295.415802,1
110,173,-11.446365,254.180145,1
111,159,-12.366768,255.494431,1
112,189,6.141846,247.405396,1
113,215,28.477493,304.332245,1
114,147,-40.817715,260.511108,1
115,172,-3.740463,279.767975,1
116,469,211.296112,354.623383,1
117,820,517.857727,401.667542,1
118,263,67.998367,335.901886,1
119,538,309.319519,412.71994,1
120,166,-0.068367,197.031921,1
121,234,48.402435,309.571411,1
122,256,12.626068,238.81369,1
123,230,45.470871,278.390503,1
124,117,-47.50906,178.074875,1
125,422,188.490051,336.876892,1
126,173,-18.090874,203.479919,1
127,151,-28.494827,255.784454,1
128,162,-31.734337,214.478088,1
129,333,85.785065,276.777252,1
130,122,-59.500385,222.856155,1
131,256,76.082138,356.624542,1
132,140,-47.415298,142.858261,1
133,129,-67.198868,137.214722,1
134,819,588.999451,436.938995,1
135,494,310.762787,464.196564,1
136,728,474.285095,477.056274,1
137,1456,1094.926758,491.562164,1
138,400,203.643433,393.574768,1
139,887,602.103455,432.9216,1
140,172,-10.47493,244.646103,1
141,1246,1013.405884,510.924469,1
142,245,47.098663,363.286438,1
143,1083,719.784729,502.823914,1
144,224,36.786621,369.59787,1
145,755,436.726929,458.79718,1
146,99,-80.579552,244.078049,1
147,107,-50.369625,330.797974,1
148,67,-102.723717,207.297516,1
149,107,-60.361172,259.725464,1
150,59,-80.010361,210.666718,1
151,122,-57.885513,286.607574,1
152,2356,1801.841431,526.523743,1
153,1708,1269.671021,486.448486,1
154,679,420.419861,449.696533,1
155,155,-24.017204,245.924942,1
156,113,-65.697556,234.759079,1
157,799,474.301941,477.119537,1
158,3533,2626.854736,517.0578,1
159,82,-71.566704,208.959442,1
160,10726,9290.447266,537.163879,1
161,219,72.536301,383.527405,1
162,241,90.754242,391.824341,1
163,2162,1780.582642,535.22876,1
164,137,-17.10511,351.532776,1
165,144,-29.682266,320.120819,1
166,292,143.914322,450.194092,1
167,1238,966.347778,483.644226,1
168,119,-52.751644,308.338654,1
169,4216,4024.317383,539.012634,1
170,2631,2292.60083,530.644043,1
171,124,-46.485016,354.224915,1
172,178,-9.589302,320.214417,1
173,154,-20.587479,347.503235,1
174,240,60.425278,384.513062,1
175,108,-51.649948,250.110458,1
176,100,-64.289101,230.988342,1
177,195,43.922836,347.039185,1
178,61,-57.947098,178.753876,1
179,86,-32.018448,209.097107,1
180,69,-74.869965,213.640808,1
181,258,71.262711,429.692749,1
182,95,-40.873581,255.950867,1
183,113,-35.475006,345.997101,1
184,454,279.548859,458.092194,1
185,127,-35.653946,329.906677,1
186,100,-11.661827,305.522675,1
187,128,-32.8162,348.499481,1
188,157,-9.157951,353.422729,1
189,127,-27.181488,360.53244,1
190,118,-34.449837,317.268097,1
191,136,-14.099052,392.092133,1
